epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9105,2.04597,4.54374,0.00262,0.72688,0.6855,0.74634,0.38432,1.6145,1.2052,0.00272,0.000198305,0.000198305,0.0803678
2,28.3743,1.7289,1.08427,0.00189,0.75578,0.74242,0.79237,0.37876,1.57357,1.07801,0.0024,0.000398208,0.000398208,0.0605677
3,38.5612,1.69354,1.00085,0.00183,0.71241,0.74242,0.754,0.4138,1.46465,1.12243,0.00206,0.000597721,0.000597721,0.0407672
4,48.7038,1.53659,0.99583,0.00167,0.79884,0.75812,0.83775,0.52968,1.29351,0.92519,0.00182,0.000796551,0.000796551,0.020966
5,58.8754,1.45451,0.94099,0.00163,0.73622,0.73939,0.79982,0.47195,1.26847,1.09997,0.0019,0.000994408,0.000994408,0.0011639
6,68.9487,1.40447,0.95137,0.00151,0.69088,0.76364,0.77117,0.47845,1.13738,1.14326,0.00177,0.000993906,0.000993906,0.000993906
7,79.0334,1.35643,0.99195,0.00146,0.76382,0.74242,0.82043,0.51863,1.15199,1.07949,0.00158,0.000991232,0.000991232,0.000991232
8,89.1487,1.37907,0.92608,0.00146,0.69373,0.8168,0.832,0.51465,1.25187,1.00914,0.0019,0.000988079,0.000988079,0.000988079
9,99.2221,1.38133,0.97624,0.00147,0.77205,0.71843,0.83373,0.48104,1.27183,1.08037,0.0018,0.000984449,0.000984449,0.000984449
10,109.29,1.36741,0.96591,0.00145,0.80833,0.65455,0.82927,0.528,1.15397,1.06047,0.00173,0.000980345,0.000980345,0.000980345
11,119.371,1.28933,0.87785,0.00141,0.76225,0.78788,0.84436,0.53236,1.14378,1.07393,0.0016,0.000975773,0.000975773,0.000975773
12,129.54,1.31471,0.94711,0.00138,0.70331,0.7,0.7815,0.46987,1.2028,1.15228,0.00174,0.000970736,0.000970736,0.000970736
13,139.648,1.31036,0.9263,0.00142,0.73552,0.75455,0.83368,0.54684,1.12888,0.96203,0.00162,0.000965239,0.000965239,0.000965239
14,149.844,1.35874,0.89946,0.00138,0.7974,0.81515,0.88246,0.55546,1.26134,0.89055,0.00169,0.000959289,0.000959289,0.000959289
15,160,1.31967,0.866,0.00136,0.8548,0.89201,0.91571,0.56187,1.27286,0.96865,0.00182,0.000952889,0.000952889,0.000952889
16,170.144,1.25169,0.88767,0.00132,0.79264,0.83939,0.88624,0.6034,1.13363,0.81979,0.00155,0.000946048,0.000946048,0.000946048
17,180.322,1.22327,0.87041,0.0013,0.74091,0.84056,0.81978,0.45887,1.40624,0.977,0.00191,0.000938772,0.000938772,0.000938772
18,190.434,1.27429,0.81797,0.00133,0.7714,0.80781,0.85894,0.55034,1.12309,0.95551,0.0015,0.000931067,0.000931067,0.000931067
19,200.539,1.26732,0.85711,0.00133,0.83115,0.85025,0.92038,0.59435,1.17436,0.80972,0.0016,0.000922942,0.000922942,0.000922942
20,210.607,1.19088,0.7947,0.00126,0.87597,0.85152,0.92268,0.65153,0.97078,0.76813,0.00141,0.000914405,0.000914405,0.000914405
21,220.775,1.18127,0.75012,0.00127,0.74021,0.79433,0.85682,0.54318,1.24293,0.96071,0.00169,0.000905463,0.000905463,0.000905463
22,230.86,1.18493,0.79948,0.00122,0.82665,0.79394,0.89979,0.57002,1.18753,0.84579,0.00173,0.000896127,0.000896127,0.000896127
23,240.987,1.22619,0.77547,0.00129,0.86531,0.84545,0.92139,0.59884,1.18984,0.79857,0.00185,0.000886404,0.000886404,0.000886404
24,251.101,1.16803,0.75826,0.00122,0.80762,0.7697,0.84983,0.54963,1.13684,0.91667,0.00156,0.000876305,0.000876305,0.000876305
25,261.204,1.15867,0.71463,0.00123,0.87356,0.8793,0.93887,0.62605,1.17705,0.68528,0.00152,0.000865839,0.000865839,0.000865839
