epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8706,1.92178,7.00422,0.0023,0.70321,0.78182,0.75925,0.3832,1.70413,0.83004,0.00234,0.00330508,0.00330508,0.0702542
2,21.0409,1.8016,1.05585,0.00182,0.76875,0.685,0.72606,0.29887,2.0717,0.92845,0.00323,0.00645065,0.00645065,0.0400665
3,31.1082,1.82429,1.0821,0.00185,0.72436,0.67273,0.71674,0.31537,1.93981,1.32257,0.00284,0.00940764,0.00940764,0.00969012
4,41.0917,1.77122,1.0965,0.00186,0.76051,0.7303,0.77648,0.34336,2.07919,1.01948,0.00302,0.00915143,0.00915143,0.00915143
5,51.0617,1.71058,1.01345,0.00169,0.77101,0.81626,0.84212,0.46325,1.63611,0.79644,0.00233,0.00886857,0.00886857,0.00886857
6,61.092,1.63836,0.94874,0.00169,0.84407,0.81212,0.86952,0.48608,1.63806,0.69391,0.00219,0.00858571,0.00858571,0.00858571
7,71.1021,1.65976,0.87851,0.00158,0.8113,0.86667,0.85708,0.53801,1.38059,0.70429,0.00179,0.00830286,0.00830286,0.00830286
8,81.0835,1.61516,0.91654,0.00158,0.78778,0.79394,0.83438,0.45313,1.65425,0.75703,0.00217,0.00802,0.00802,0.00802
9,91.0276,1.62471,0.86097,0.00159,0.83141,0.79202,0.82578,0.4822,1.64261,0.68269,0.00199,0.00773714,0.00773714,0.00773714
10,101.045,1.59062,0.85897,0.00149,0.84342,0.86508,0.88771,0.4853,1.70033,0.63875,0.0021,0.00745429,0.00745429,0.00745429
11,111.035,1.56828,0.79794,0.00149,0.84599,0.75455,0.84443,0.47242,1.69402,0.68904,0.00211,0.00717143,0.00717143,0.00717143
12,121.037,1.5873,0.73301,0.0015,0.84883,0.84848,0.87127,0.53862,1.46326,0.63225,0.00185,0.00688857,0.00688857,0.00688857
13,131.062,1.54649,0.8028,0.00141,0.88268,0.82077,0.90354,0.58805,1.29873,0.65411,0.00166,0.00660571,0.00660571,0.00660571
14,141.006,1.47594,0.80493,0.00134,0.83292,0.89394,0.91843,0.60599,1.23177,0.6256,0.0016,0.00632286,0.00632286,0.00632286
15,150.967,1.50565,0.81778,0.00139,0.78187,0.87982,0.88158,0.52654,1.47038,0.6652,0.00182,0.00604,0.00604,0.00604
16,160.889,1.49446,0.79674,0.00143,0.83488,0.84848,0.89126,0.52677,1.48935,0.67241,0.00188,0.00575714,0.00575714,0.00575714
17,170.791,1.47073,0.75139,0.00138,0.88179,0.81377,0.90002,0.53273,1.51678,0.61271,0.00199,0.00547429,0.00547429,0.00547429
18,180.756,1.39263,0.72413,0.00131,0.87619,0.8697,0.9262,0.64016,1.16642,0.58918,0.00152,0.00519143,0.00519143,0.00519143
19,190.714,1.39904,0.72187,0.00133,0.89994,0.86061,0.93133,0.61079,1.25178,0.54339,0.00161,0.00490857,0.00490857,0.00490857
20,200.664,1.34364,0.66579,0.00126,0.88472,0.90701,0.95007,0.67043,1.08386,0.50749,0.00139,0.00462571,0.00462571,0.00462571
21,210.622,1.30477,0.60403,0.00122,0.85084,0.93339,0.95428,0.66065,1.14074,0.53919,0.00159,0.00434286,0.00434286,0.00434286
22,220.558,1.29491,0.62009,0.00122,0.87847,0.92424,0.95751,0.67084,1.08522,0.4999,0.00145,0.00406,0.00406,0.00406
23,230.52,1.26692,0.58287,0.00118,0.85824,0.91515,0.9363,0.6308,1.17609,0.50003,0.00154,0.00377714,0.00377714,0.00377714
24,240.453,1.20199,0.55265,0.00112,0.89879,0.91818,0.96506,0.71555,0.97717,0.43581,0.00127,0.00349429,0.00349429,0.00349429
25,250.423,1.18031,0.52151,0.00108,0.89684,0.92211,0.96426,0.68784,1.05588,0.44953,0.00132,0.00321143,0.00321143,0.00321143
26,261.088,1.05885,0.46928,0.00125,0.93334,0.93333,0.97604,0.69062,1.05113,0.42266,0.00132,0.00292857,0.00292857,0.00292857
27,270.804,0.99138,0.45941,0.00117,0.87186,0.95152,0.96417,0.69017,1.02607,0.4614,0.00126,0.00264571,0.00264571,0.00264571
28,280.515,1.00961,0.43935,0.00117,0.87415,0.95152,0.96091,0.69195,1.04012,0.44117,0.00123,0.00236286,0.00236286,0.00236286
29,290.2,0.96569,0.42513,0.00114,0.89551,0.94545,0.97016,0.74483,0.88469,0.41623,0.00107,0.00208,0.00208,0.00208
30,299.949,0.94801,0.40015,0.00114,0.9157,0.94545,0.96795,0.65469,1.20131,0.44127,0.00151,0.00179714,0.00179714,0.00179714
31,309.596,0.96453,0.38124,0.00107,0.91945,0.96853,0.97919,0.73258,0.93402,0.36457,0.00113,0.00151429,0.00151429,0.00151429
32,319.26,0.91101,0.3494,0.00103,0.93521,0.95152,0.97707,0.71948,0.97773,0.38393,0.00116,0.00123143,0.00123143,0.00123143
33,328.946,0.86078,0.34372,0.00096,0.92616,0.95025,0.97703,0.72952,0.95398,0.3785,0.00113,0.000948571,0.000948571,0.000948571
34,338.611,0.87123,0.33676,0.00095,0.9353,0.96061,0.98134,0.74208,0.9258,0.36822,0.00106,0.000665714,0.000665714,0.000665714
35,348.298,0.83405,0.33676,0.00096,0.92998,0.96599,0.97891,0.73095,0.93217,0.37034,0.00112,0.000382857,0.000382857,0.000382857
